Latitude,Longitude,Address,Name,Website,Time Added,Eco & Sustainability Terms,Ethical & Slave-Free Terms,Relational & Direct Terms,Matching Sentences
37.714498,-122.465579,"302 Randolph St, San Francisco, CA 94132",Blue House Café,https://www.bluehousecafesf.com/,21:29:52,organic,,,All   Coffee   Matcha & Tea   Food            Coffee   07          Espresso        Sightglass — Owl'
37.741507,-122.505139,"3629 Taraval St, San Francisco, CA 94116",Andytown Coffee Roasters,http://andytownsf.com/,21:29:54,compostable,"ethical sourcing, ethically sourced","single origin, traceable","Our promise

           
 
 
 
 
 
 
 
 SUSTAINABLE PRACTICES 
 
 Andytown is a certified California"
37.743049,-122.481316,"1400 Taraval St, San Francisco, CA 94116",El Cafe,https://elcafesf.com/,21:29:55,,,,No match found on page.
37.783082,-122.409998,"33 Turk St, San Francisco, CA 94102",Spoke Cafe,,21:29:57,,,,No match found on page.
37.784985,-122.410942,"299 Ellis St, San Francisco, CA 94102",Happy Donuts,,21:29:59,,,,No match found on page.
37.786403,-122.41452,"687 Geary St, San Francisco, CA 94102",Scullery,http://www.scullerysf.com/,21:30:01,organic,,,Scullery CoffeeTOAST CATERINGTOAST CATERINGScullery-SculleryTOAST CATERING — Scullery
37.742011,-122.504902,"3606 Taraval St, San Francisco, CA 94116",Avenues San Francisco,http://avsf.co/,21:30:07,,,,No match found on page.
37.742287,-122.498705,"3016 Taraval St, San Francisco, CA 94116","Andytown Roastery, Training Lab, & Coffee Supply",http://andytownsf.com/,21:30:08,compostable,"ethical sourcing, ethically sourced","single origin, traceable","Our promise

           
 
 
 
 
 
 
 
 SUSTAINABLE PRACTICES 
 
 Andytown is a certified California"
37.733585,-122.489719,"1509 Sloat Blvd, San Francisco, CA 94132",Peet's Coffee,"https://www.peets.com/pages/store-locator?stockist-query=San%20Francisco,%20CA,%20USA&selected=Sloat",21:30:14,organic,fair trade,,"As part of this commitment, we have partnered with Fair Trade USA to help fund community programs in"
37.742777,-122.478561,"1131 Taraval St, San Francisco, CA 94116",El Antigua Cafe,,21:30:15,,,,No match found on page.
37.754291,-122.481227,"1618 Noriega St, San Francisco, CA 94122",Henry's House of Coffee,http://www.henryshouseofcoffee.com/,21:30:17,organic,,,"Conquistador Ethiopian Fancy Sumatra Dark Bella Finca Gypsy Mix 
 
 
 
 
 
 Sampler Type 
 Beans"
37.776487,-122.4776,"1737 Balboa St, San Francisco, CA 94121",The Coffee Movement,https://www.thecoffeemovement.com/,21:30:18,organic,,,"$ 3 
                  
                 
 Espresso 
 
 $ 3"
37.732066,-122.473489,"2620 Ocean Ave, San Francisco, CA 94132",YY Coffee & Milk Tea,http://www.yycoffeetea.com/,21:30:20,,,,No match found on page.
37.743195,-122.478029,"1100 Taraval St, San Francisco, CA 94116",Jandii Cafe,,21:30:26,,,,No match found on page.
37.752778,-122.504583,"3815 Noriega St, San Francisco, CA 94122",Yonkers Cafe,https://www.yonkerscafeca.com/,21:30:27,,equity,,"Definitions For the purposes of these Terms and Conditions: Affiliate means an entity that controls,"
37.742777,-122.478561,"1131 Taraval St, San Francisco, CA 94116",Bean Dream LLC,https://dream-bean-cozy.lovable.app/home,21:30:28,,ethically sourced,,"Bean Dream is a quiet corner of the sky in the Sunset — ethically sourced beans, cloud-soft milk, an"
37.753195,-122.505009,"3876 Noriega St, San Francisco, CA 94122",Devil's Teeth Baking Company,http://www.devilsteethbakingcompany.com/,21:30:35,,,,No match found on page.
37.760464,-122.508971,"1396 La Playa St, San Francisco, CA 94122",Java Beach Cafe,https://javabeachcafe.com/javabeachcafejudah?utm_source=google,21:30:36,,,,No match found on page.
37.774536,-122.509795,"734 La Playa St, San Francisco, CA 94121",Ocean Beach Cafe,https://www.oceanbeachcafe.com/,21:30:38,,,,No match found on page.
37.763778,-122.469356,"1097 Irving St, San Francisco, CA 94122",Earth Tone Cafe,,21:30:39,,,,No match found on page.
